,immu,immu_origin
"Candida_krusei_28101187:Candida krusei
",none,"hospital patient hospital with complaints of cough and dyspnea that patient mortality succumbed to the disease on day 2 after admission. The infection was diagnosed by sputum smear and culture subsequent to patient hospital with complaints of cough and dyspnea that persisted for 6 days. The patient presented fever (oral temperature, year hospital with complaints of cough and dyspnea that persisted for 6 days. The patient hospital with hospital with complaints of cough and dyspnea that persisted for 6 days. The hospital with complaints hospital with complaints of cough and succumbed to the disease on day 2 after admission. The infection was diagnosed by sputum smear and culture subsequent to patient mortality mortality to the disease on day 2 after admission. The infection was diagnosed by sputum smear and culture subsequent to patient subsequent to patient MERS) case. A 64-year MERS) case. A 64 64-year 64"
"Candida_krusei_29670781:Candida krusei
",none,"74 74-year-old female 74-year-old article presents a 74 74-year 74-year-old female with Candida krusei pneumonia and a complicated hospital course This article presents a 74 74- 74-year- and and mortality mortality article article presents a 74-year-old female presents a 74 a 74 year-old female female especially high mortality, in which the most frequently isolated fungus is Candida spp. This article presents a 74 article presents a 74-year-old"
"Candida_krusei_30170160:Candida krusei
",抑制,immunodeficiency im combined immunodeficiency immunode immunodeficiency. immuno immu combined im immunodeficiency. OBJECTIVE: To combined combined immunode different combined immuno different families having combined immunodeficiency. combined immu Egyptian patients from 9 different different families having presented with MHC class II deficiency different families having presented with MHC class II deficiency between 2012 and antigen presentation. A genetic disorder in 1 of 4 genes results in this syndrome that is associated with the clinical phenotype of combined im
"Candida_krusei_31381532:Candida krusei
",none,"mature more mature preterm infants without BPD and more mature preterm infants with BPD than in preterm infants without BPD and more mature 194 194 preterm infants with VAP, birth weight from 780 to 2820 g and gestational age mature infants with or without this complication. BPD developed 7- 11 times more frequent in preterm 194 preterm infants with VAP, 194 preterm preterm infants with VAP, birth weight from 780 to 2820 g and gestational age more preterm infants with VAP, 194 preterm infants with VAP, birth weight from 780 to 2820 g and preterm 194 preterm infants with VAP, birth weight mature infants preterm infants without BPD and more preterm infants with BPD than in preterm infants without BPD and more 194 preterm infants with VAP, birth weight from , birth weight from 780 to 2820 g and gestational age"
"Candida_krusei_3344407:Candida krusei
",抑制,immunocompromised immunocompromised patients im immunocom immunocomp immuno immunocomprom immu immunocompromised patients over a four-month period. hematology 12 immunocompromised hem patients hemato hematology department hematology department].ABSTRACT:Candida krusei is a rarely isolated opportunistic yeast which we observed in 12 immunocompromised department].ABSTRACT:Candida krusei is a rarely isolated opportunistic yeast which we observed in 12 im 12 immunocompromised patients 12 im hematology department].ABSTRACT:Candida
"Candida_krusei_33644009:Candida krusei
",none,"hepatology female internal female, 130 male systemic internal diseases female, diseases he ICU, and hepatology internal diseases , 130 male hepa respiratory department, ICU, and hepatology male , 179 patients (49 female patients with systemic internal diseases patients (49 female work aimed to investigate the incidence, strain distributions, and drug susceptibility of invasive fungal strains isolated from patients with systemic internal diseases variant. These data might provide clinical evidence for the prevention and treatment of invasive fungal infection in patients with systemic internal diseases"
"Candida_krusei_33889656:Candida krusei
",none,intensive care unit residents intensive residents intensive care unit intensive care 62 were intensive care unit residents unit residents 62 years; 68% men men years; 68% men care unit residents were intensive 62 years years ; 68% men were intensive care unit unit . 62 years;
"Candida_krusei_3778147:Candida krusei
",none,"healthy previously healthy healthy but alcoholic previously healthy but alcoholic alcoholic previously 62-year-old man, previously healthy healthy but alcoholic, and previously healthy but alcoholic, and healthy but alcoholic, and who man, previously healthy previously healthy but alcoholic, and who , previously healthy healthy but alcoholic, 62-year-old man, previously healthy but alcoholic previously healthy but alcoholic, alcoholic, and year-old man, previously healthy alcoholic, and who -year-old man, previously healthy"
"Candida_krusei_7691973:Candida krusei
",none,chronic renal failure renal failure chronic renal failure on Continuous Ambulatory Peritoneal Dialysis chronic failure chronic renal renal failure on Continuous Ambulatory Peritoneal Dialysis chronic renal failure on Continuous Ambulatory Peritoneal Dialysis (CAPD with chronic renal failure chronic re chronic renal failure on Continuous Ambulatory renal chronic renal failure on Continuous Ambulatory Peritoneal Dialysis (CAPD) chronic renal failure on Continuous Ambulatory Peritoneal failure on Continuous Ambulatory Peritoneal Dialysis chronic renal failure on Continuous renal failure on Continuous Ambulatory Peritoneal Dialysis (CAPD chronic renal failure on Continuous Ambulatory Peritoneal Dialysis (CA re renal failure on Continuous Ambulatory
"Candida_krusei_8150966:Candida krusei
",none,"surgery surgery patients patients Three surgery surgery patients were monitored postoperatively, with particular reference surgery patients were monitored postoperatively, with particular reference to lung infection. surgery patients were monitored postoperatively, with particular surgery patients were monitored surgery patients were monitored postoperatively, with particular reference to lung surgery patients were monitored postoperatively, surgery patients were monitored postoperatively, with particular reference to lung infection surgery patients were monitored postoperative surgery patients were monitored postoperatively, with particular reference to Three surgery patients patients were monitored postoperatively, with particular reference patients were monitored postoperatively, with particular reference to lung infection. patients were monitored postoperatively, with particular patients were monitored patients were monitored postoperatively, with particular reference to lung patients were monitored postoperatively,"
